trial_number,rdc_replay_buffer_capacity,rdc_replay_buffer_alpha,rdc_replay_buffer_beta_start,rdc_replay_buffer_beta_frames,rdc_tau,rdc_batch_size,rdc_hidden_dim,rdc_lr,rdc_lr_step_size,rdc_lr_gamma,rdc_gamma,rdc_epsilon_end,rdc_epsilon_decay,rdc_reward_weight_demand,rdc_reward_weight_rebalancing,rdc_reward_weight_gini,value
81,10000,0.8,0.3,50000,0.006,512,256,9.952168693586107e-06,1500,0.9,0.99,0.045,0.9993,1.25,1.1,0.05,97.0446413223381
82,10000,0.8,0.3,50000,0.008,512,128,6.033323162641233e-06,1500,0.9,0.99,0.045,0.9996,1.25,1.1,0.05,97.7077452814909
83,10000,0.7,0.3,50000,0.006,512,128,9.595135142501643e-06,1500,0.9,0.99,0.045,0.9996,1.25,1.1,0.05,97.8152001177548
85,10000,0.7,0.25,75000,0.008,512,256,7.290860146450422e-06,1500,0.9,0.98,0.05,0.9987,1.25,1.05,0.05,97.22950315810479
84,10000,0.7,0.3,75000,0.008,512,128,5.678970563622387e-06,1500,0.9,0.99,0.045,0.9997,1.25,1.1,0.060000000000000005,98.11625692829746
86,10000,0.75,0.25,75000,0.008,512,256,5.887061735410852e-06,1500,0.9,0.98,0.05,0.9989,1.25,1.05,0.05,97.46023585782237
87,10000,0.75,0.25,75000,0.008,512,256,7.2509478436663036e-06,1500,0.9,0.97,0.05,0.9988,1.3,1.05,0.05,97.16590976742489
88,10000,0.75,0.25,75000,0.008,512,256,7.279822855074035e-06,1500,0.9,0.97,0.05,0.998,1.25,1.05,0.05,96.704239032542
89,10000,0.75,0.25,75000,0.008,512,256,4.757904283192338e-06,1500,0.9,0.97,0.05,0.999,1.35,1.05,0.060000000000000005,98.26989790271818
90,10000,0.7,0.35,75000,0.008,512,128,5.666196953463631e-06,1500,0.9,0.97,0.045,0.9997,1.3,1.15,0.060000000000000005,97.5985761125923
91,10000,0.7,0.35,75000,0.005,512,128,5.054248720755623e-06,1500,0.9,0.97,0.045,0.9997,1.35,1.15,0.060000000000000005,95.53513176658933
92,10000,0.7,0.3,100000,0.005,512,128,4.655906989405711e-06,1500,0.9,0.99,0.045,0.9997,1.35,1.15,0.060000000000000005,94.97211250625624
93,7500,0.7,0.35,100000,0.008,512,128,5.5968169467140934e-06,1500,0.9500000000000001,0.99,0.045,0.9997,1.6,1.15,0.060000000000000005,97.71179204467397
94,7500,0.7,0.35,100000,0.008,512,128,5.056091926101721e-06,1500,0.9500000000000001,0.97,0.045,0.9997,1.35,1.0,0.060000000000000005,96.28999841776546
95,10000,0.7,0.3,75000,0.008,512,128,4.585624288856304e-06,1500,0.9,0.97,0.05,0.9997,1.35,1.05,0.060000000000000005,96.99571192748928
96,10000,0.7,0.3,75000,0.008,512,128,4.890800939899654e-06,1500,0.9,0.99,0.05,0.9998,1.35,1.05,0.060000000000000005,98.13696383014559
97,10000,0.75,0.3,75000,0.008,512,128,9.274932185646326e-06,1500,0.9,0.97,0.05,0.9993,1.35,1.05,0.060000000000000005,97.15455494448256
98,10000,0.8,0.3,75000,0.008,512,128,3.043261476525336e-06,1500,0.9,0.97,0.05,0.9998,1.3,1.0,0.05,97.70750717415065
99,10000,0.75,0.3,75000,0.008,512,128,2.7627171348024163e-06,1500,0.9,0.99,0.05,0.9998,1.3,1.05,0.05,98.02959302074649
