trial_number,learning_rate,n_steps,batch_size,clip_range,ent_coef,vf_coef,hidden_size,activation,gamma,gae_lambda,use_target_kl,value
16,5.868352155987521e-05,512,32,0.25,0.0001906999042758501,0.72,256,ReLU,0.9691003924632312,0.95,0.02,162.6900902
17,2.437355410049371e-05,512,32,0.25,0.00019241323568958515,0.72,256,ReLU,0.967519886081308,0.95,0.02,163.1324532
18,2.593435061955867e-05,512,32,0.28,8.068145160068034e-05,0.71,256,ReLU,0.96802121726132,0.95,0.02,162.5899742
19,2.371483445914409e-05,512,32,0.28,8.618501782172228e-05,0.73,256,ReLU,0.9594126317438916,0.96,0.02,162.4374524
20,2.4780084220520494e-05,512,32,0.28,8.580428286357271e-05,0.74,256,ReLU,0.9599471220671273,0.96,0.02,162.908845
21,2.4952688322419157e-05,512,32,0.28,8.728224863964937e-05,0.74,256,LeakyReLU,0.9598150863846278,0.96,0.02,162.6481874
22,3.668666564026765e-05,256,32,0.27,5.096755088718401e-05,0.74,256,LeakyReLU,0.9588295862224209,0.96,0.02,162.4196498
23,3.7547831835328265e-05,256,32,0.27,4.7424028754044175e-05,0.74,256,LeakyReLU,0.9598549425215513,0.94,0.02,162.2681902
24,3.738578439775018e-05,512,32,0.27,0.00015498632323392131,0.7000000000000001,256,ReLU,0.9652464721012181,0.94,0.02,163.0633972
25,3.788717702537407e-05,512,32,0.27,0.00015210534624929416,0.7000000000000001,256,ReLU,0.9650158486907969,0.94,0.02,162.6417538
26,2.3116730461995744e-05,512,32,0.26,0.0001517874976228337,0.7000000000000001,256,ReLU,0.9653777048611315,0.94,0.02,162.1701558
27,2.2431993691074526e-05,512,32,0.26,0.00015278529208845285,0.7000000000000001,256,ReLU,0.9649544267332087,0.94,0.02,162.59999039999997
28,2.2619433793665514e-05,512,32,0.26,0.00015375404906439966,0.71,256,ReLU,0.965359521473968,0.95,0.02,163.41763500000002
29,2.2516826360928252e-05,512,32,0.26,0.0001590542121447937,0.71,256,ReLU,0.9631868949544654,0.95,0.02,163.1130952
30,4.32062318189758e-05,512,32,0.25,0.00016653030195135822,0.71,256,ReLU,0.9626003784156151,0.95,0.02,163.42331840000003
31,2.774552051174068e-05,256,32,0.25,9.942878949956297e-05,0.71,256,ReLU,0.9702100634287599,0.95,0.02,163.034415
32,4.437464370861806e-05,256,32,0.26,0.00010551120919954125,0.67,128,LeakyReLU,0.9616152045751695,0.95,0.02,161.946806
33,4.2762381029876685e-05,256,32,0.3,0.00010424315454512482,0.67,128,LeakyReLU,0.9631462496179747,0.95,0.02,162.6345026
34,4.2988438131117773e-05,512,32,0.25,0.0001027577884761629,0.71,256,ReLU,0.9619186309760347,0.95,0.02,162.482281
35,4.298604323064809e-05,512,32,0.26,0.00012819552061318036,0.67,256,ReLU,0.9626435388721483,0.95,0.02,163.5960374
36,4.230809784018764e-05,512,32,0.25,0.00012861922320531148,0.73,256,ReLU,0.9570312722289567,0.95,0.02,162.9007102
37,4.194203035736444e-05,512,64,0.25,0.00012764799695912774,0.73,256,ReLU,0.9568204088596091,0.95,0.02,162.80049580000002
38,5.2655546575885426e-05,512,64,0.26,0.00013008858602969997,0.73,256,ReLU,0.9579247799521655,0.94,0.02,162.84679739999999
39,5.151393037729697e-05,512,64,0.27,0.00012622782901411853,0.68,256,ReLU,0.9574723485867319,0.96,0.02,163.42101680000002
41,5.16746497605215e-05,512,64,0.27,0.00017474341180895842,0.68,256,ReLU,0.9515115070811403,0.96,0.02,162.5089226
40,5.265317489906567e-05,512,64,0.27,7.435577359383088e-05,0.68,256,ReLU,0.952762636385306,0.96,0.02,163.5028376
42,5.272596231391316e-05,512,64,0.27,0.00017618127138029101,0.68,256,ReLU,0.9518249750177074,0.96,0.02,162.631216
43,5.1604934468125116e-05,256,64,0.27,6.253605116108737e-05,0.68,128,ReLU,0.9503278482615558,0.96,0.02,162.2665096
45,5.474744307202973e-05,512,64,0.27,7.445916554861049e-05,0.66,256,ReLU,0.9531895136026344,0.96,0.02,162.8108382
44,3.406028308627927e-05,512,64,0.27,0.00013713347283358907,0.66,256,ReLU,0.9525518714633261,0.96,0.02,163.075269
46,4.621556210330815e-05,512,64,0.27,7.271957536798735e-05,0.6900000000000001,128,ReLU,0.9535836556951238,0.97,0.02,162.73977059999999
47,4.633490058558569e-05,512,64,0.28,7.101156571065748e-05,0.66,256,ReLU,0.9538003344218475,0.97,0.02,162.8914234
49,4.71313101093513e-05,256,64,0.29,0.00011738303932473331,0.6900000000000001,256,ReLU,0.9542162238116737,0.97,0.02,163.065184
48,4.629861266059353e-05,512,64,0.29,3.741843804917671e-05,0.6900000000000001,256,ReLU,0.9539358327651138,0.96,0.02,163.301974
50,4.727526114712738e-05,256,64,0.29,0.00011624012209768966,0.6900000000000001,256,ReLU,0.955642850227175,0.97,0.02,162.34580139999997
51,5.7009372660901516e-05,256,64,0.29,6.18761847442887e-05,0.6900000000000001,256,ReLU,0.956163621611761,0.96,0.02,163.10828959999998
52,5.662555628641833e-05,256,64,0.26,6.138036503380814e-05,0.68,256,ReLU,0.9556536585854722,0.96,0.02,162.38080440000002
53,5.632139967901017e-05,256,64,0.26,6.0747779394074215e-05,0.68,256,ReLU,0.9564013127956641,0.96,0.02,162.1642334
54,3.196041607050343e-05,512,32,0.26,0.00017018311430714962,0.67,256,ReLU,0.960945230610008,0.95,0.02,163.564323
55,4.9952743143273405e-05,512,32,0.26,0.00016856833982764843,0.67,256,ReLU,0.9611017236403692,0.95,0.02,162.6701038
56,4.024551852935951e-05,512,32,0.26,0.00016531272892075834,0.71,256,ReLU,0.9662857460894816,0.95,0.02,162.2900666
57,4.9654984479923604e-05,512,32,0.26,0.00016989555816880408,0.71,256,ReLU,0.9664426773404499,0.95,0.02,162.979892
58,3.272206711506579e-05,512,32,0.28,0.00016972784027035983,0.67,256,ReLU,0.9609489044521583,0.95,0.02,163.2748768
59,4.004087105419716e-05,512,32,0.28,9.28071423057034e-05,0.65,256,ReLU,0.9582167698886627,0.95,0.02,163.0547196
60,3.2442476129146755e-05,512,32,0.28,9.479951035113196e-05,0.65,128,ReLU,0.9638543157500102,0.95,0.02,162.69756
61,3.6142806332605293e-05,512,32,0.27,9.236030874038813e-05,0.65,128,ReLU,0.9639944528913804,0.94,0.02,163.33200659999997
62,3.6099208143341634e-05,512,32,0.27,9.252967412818442e-05,0.66,128,ReLU,0.9639635818504076,0.94,0.02,162.5588648
63,3.595840238177578e-05,512,32,0.27,0.00013880525470896639,0.66,128,ReLU,0.9634486671356499,0.94,0.02,163.0271658
64,3.5654896635689505e-05,512,32,0.27,0.00013899309338425044,0.72,256,ReLU,0.9640109309988861,0.94,0.02,162.75462640000003
66,2.8268319965995083e-05,512,32,0.26,0.00014103469863136855,0.72,256,ReLU,0.9603577279791785,0.95,0.02,162.2638372
65,2.698749298043581e-05,512,32,0.26,0.00014148917873022735,0.72,256,ReLU,0.9623709281218589,0.95,0.02,162.77913940000002
67,2.6812994537027778e-05,512,32,0.26,0.0001443876641097085,0.72,256,ReLU,0.9621464194608729,0.95,0.02,163.214469
68,2.844291370128708e-05,512,32,0.26,0.00018222372172342003,0.7000000000000001,256,LeakyReLU,0.9620950168113014,0.95,0.02,163.2314068
69,2.066798177487804e-05,512,32,0.26,0.00018412606070715502,0.7000000000000001,256,LeakyReLU,0.9622637433685151,0.95,0.02,162.4076316
70,2.951749540935452e-05,512,32,0.25,0.00018494355594155236,0.7000000000000001,256,LeakyReLU,0.9795684561153795,0.96,0.02,162.968597
71,2.044868726602621e-05,512,32,0.25,0.00011010565193248776,0.7000000000000001,256,LeakyReLU,0.9792709851682535,0.96,0.02,163.1113734
72,4.4469730496725166e-05,512,32,0.25,0.00011123566119167731,0.67,256,ReLU,0.9780507778961716,0.96,0.02,163.101824
73,3.073626649058276e-05,512,32,0.25,2.7406995640545166e-05,0.67,256,ReLU,0.9590355360124563,0.96,0.02,162.63610139999997
74,4.454892884005257e-05,512,32,0.27,0.00011045488745855709,0.67,128,ReLU,0.9586575750004405,0.94,0.02,162.73508080000002
75,3.8760975512962166e-05,512,32,0.27,0.00012599629281142186,0.67,128,ReLU,0.966141337878867,0.94,0.02,162.7456596
76,3.90554929965424e-05,512,32,0.27,0.0001220860846911465,0.71,128,ReLU,0.9590832038537939,0.94,0.02,162.5966156
77,4.4157401999733656e-05,512,32,0.27,7.920325325595747e-05,0.71,128,ReLU,0.9662407214364203,0.94,0.02,162.77624939999995
78,3.883307479926133e-05,512,32,0.27,0.00012719686922268964,0.71,128,ReLU,0.9668257125058185,0.94,0.02,162.9380046
79,4.098743186105258e-05,512,32,0.27,0.00012162794388552794,0.71,128,ReLU,0.9644140801044417,0.94,0.02,163.1227716
80,4.098576445974912e-05,512,64,0.27,7.925830738097426e-05,0.68,128,ReLU,0.9645267989523258,0.94,0.02,162.8442384
81,5.444359138112646e-05,256,64,0.27,0.00015105680633708805,0.68,256,ReLU,0.9644614537702118,0.94,0.02,162.01063340000002
82,4.1607361925685795e-05,256,64,0.27,5.219265927481361e-05,0.68,256,ReLU,0.9644118314819274,0.95,0.02,162.53478060000003
83,3.1565762409014685e-05,256,64,0.28,0.0001996356421951186,0.68,256,ReLU,0.9605217653622176,0.95,0.02,162.0257092
84,2.123940994160189e-05,512,32,0.26,0.0001550691009989107,0.68,256,LeakyReLU,0.9629645139686621,0.95,0.02,163.6650334
85,2.1722870810502527e-05,512,32,0.26,0.00019970252644784545,0.75,256,LeakyReLU,0.9629262447461227,0.95,0.02,163.1842724
86,2.345053868840412e-05,512,32,0.26,0.00016059132076276026,0.66,256,LeakyReLU,0.9628246299371072,0.95,0.02,163.644474
87,2.1420749994823365e-05,512,32,0.26,0.00014609415681967095,0.66,256,LeakyReLU,0.9627412085036232,0.95,0.02,162.6573198
88,2.1848182190464936e-05,512,32,0.26,0.00015897694073917326,0.66,256,LeakyReLU,0.9630076340642174,0.95,0.02,163.2748808
90,2.3525966263009895e-05,512,32,0.26,0.00015728004209997779,0.66,256,LeakyReLU,0.9654813681316462,0.95,0.02,163.6051038
89,2.1194930796387856e-05,512,32,0.26,0.0001610420145951602,0.66,256,LeakyReLU,0.9676483795697848,0.95,0.02,163.3786124
91,2.3973074351676236e-05,512,32,0.26,0.00016012358759880856,0.67,256,LeakyReLU,0.9613305152314406,0.95,0.02,162.16436819999998
92,2.3720910691026845e-05,512,32,0.26,0.00016016803666060487,0.6900000000000001,256,LeakyReLU,0.9575253821684235,0.95,0.02,163.22975660000003
93,2.3732300326386883e-05,512,32,0.26,0.00016162935947842814,0.67,256,LeakyReLU,0.9574253048212608,0.95,0.02,162.700246
94,2.2853648043386795e-05,512,32,0.26,0.00013442610983729057,0.67,256,LeakyReLU,0.9656796802784615,0.95,0.02,162.45833480000002
95,2.001109282399324e-05,512,32,0.25,0.00013268177540353015,0.67,256,LeakyReLU,0.9577126579951742,0.95,0.02,163.2427506
96,2.2991249584466532e-05,512,32,0.25,0.00013560306842177552,0.66,256,LeakyReLU,0.9656626449811972,0.95,0.02,163.040591
97,4.874983128803705e-05,512,32,0.25,0.00013276934825431393,0.65,256,LeakyReLU,0.9693556431101154,0.95,0.02,162.6786262
98,2.5666985590629683e-05,512,32,0.25,0.00013334918851606184,0.66,256,LeakyReLU,0.9691019726943345,0.95,0.02,163.04002020000001
99,2.557254788806898e-05,512,32,0.26,0.00014903629913060482,0.66,256,LeakyReLU,0.9501201566826676,0.95,0.02,162.6101616
