trial_number,rdc_replay_buffer_capacity,rdc_replay_buffer_alpha,rdc_replay_buffer_beta_start,rdc_replay_buffer_beta_frames,rdc_tau,rdc_batch_size,rdc_hidden_dim,rdc_lr,rdc_lr_step_size,rdc_lr_gamma,rdc_gamma,rdc_epsilon_end,rdc_epsilon_decay,value
11,29614,0.5,0.33,12374,0.0007314661317939785,512,256,4.297437384547299e-06,5100,0.72,0.981,0.067,0.9619440588230669,78.57808769523014
14,65575,0.2,0.56,9409,0.0016283551206999665,512,1024,5.2921622284878254e-06,1100,0.73,0.989,0.06999999999999999,0.9655743288803573,78.83516456826489
13,6277,0.2,0.28,8285,0.0039768054050928125,512,256,4.2614618229338915e-06,3700,0.74,0.982,0.071,0.9673860922728037,78.89416584592871
15,66836,0.7,0.26,60409,0.0015413615969330776,512,1024,5.125352849675632e-06,1000,0.73,0.989,0.06999999999999999,0.9654140534263908,78.69424809314403
17,63237,0.8,0.25,62895,0.0017484177662788747,512,512,1.6615031335797734e-06,1700,0.73,0.99,0.06999999999999999,0.9659020026433839,78.32022341536994
19,22680,0.8,0.25,59113,0.001932688355773954,1024,512,1.7606103636474342e-06,6000,0.7,0.974,0.06,0.9650877216599444,78.83749845618054
18,23946,0.8,0.26,63463,0.0015157286155859874,512,512,1.757118893738487e-06,1900,0.74,0.974,0.06,0.9664963513185808,78.23639959241872
16,65397,0.8,0.26,63541,0.0014110599255420528,512,512,4.989240554058426e-06,1600,0.73,0.99,0.06999999999999999,0.9655471987687182,78.07460727837321
21,27024,0.8,0.31,46909,0.0002364848072364298,1024,512,1.9015534916801938e-06,2200,0.7,0.974,0.073,0.9686849968280955,73.87295182500226
20,23273,0.8,0.32,63194,0.009238202642087346,1024,512,2.0000335098420166e-06,2300,0.7,0.972,0.069,0.9679947718704814,78.25269295296965
22,34303,0.8,0.31,44169,0.00835770788430859,1024,1024,2.276793571790929e-06,2200,0.7799999999999999,0.976,0.073,0.9686306200011066,79.1956805075078
23,35276,0.9000000000000001,0.32,44326,0.00987111985100264,1024,1024,2.1140134591303137e-06,2300,0.7799999999999999,0.97,0.073,0.9692560313082926,78.01483549508157
24,36127,1.0,0.32,40935,0.007732508945520917,1024,1024,2.2847251497123987e-06,2500,0.7799999999999999,0.971,0.073,0.9691625424331068,79.03370535829296
28,42116,1.0,0.37,15999,0.0026180095184642257,1024,1024,1.4076049759373836e-06,4700,0.7899999999999999,0.978,0.068,0.972419788359171,78.09154078959861
25,39535,0.9000000000000001,0.3,40307,0.007897364912879217,256,1024,2.302661380990552e-06,4600,0.7799999999999999,0.97,0.068,0.9604163620087062,78.32108446420627
27,40213,0.9000000000000001,0.38,41246,0.008983891019941632,1024,1024,2.500967392100194e-06,4600,0.7899999999999999,0.977,0.073,0.9717050199565764,78.44555389712674
26,43478,1.0,0.38,39717,0.0004480374946423635,256,1024,2.455230727399777e-06,4600,0.7799999999999999,0.968,0.068,0.9601057615137276,78.21091411969951
29,43168,0.7,0.38,15693,0.002420386681170445,256,1024,1.4394784045656034e-06,4500,0.7899999999999999,0.978,0.068,0.9721722899491019,77.66865373928667
31,48178,0.7,0.38,29024,0.0010365887342689544,1024,1024,1.3468266920836231e-06,3300,0.76,0.985,0.072,0.9721763483082143,77.58849430550559
30,17343,0.7,0.29,5032,0.0010558558541937028,256,1024,6.740406310880796e-06,4500,0.76,0.984,0.072,0.9714070988802105,77.26293985095514
32,16454,0.7,0.29,29554,0.0011127973749774473,256,1024,1.399836692950511e-06,3300,0.77,0.985,0.071,0.9638364547807173,78.12716328882253
33,15827,0.7,0.35,31297,0.0009571738622309885,1024,1024,1.0270061484690641e-06,2600,0.76,0.986,0.075,0.9637699054130378,78.21303730118277
34,53431,0.7,0.29,29235,0.005519551564456895,1024,256,1.0169145088835857e-06,3100,0.76,0.986,0.075,0.9665559336316161,77.88503245299283
35,17722,0.9000000000000001,0.29,26478,0.0010667922009336584,256,1024,1.0643377951971735e-06,2700,0.77,0.966,0.063,0.9639786914592517,78.64988719229922
36,5155,0.9000000000000001,0.28,30898,0.0004076323582369502,256,1024,3.4501922715255658e-06,2800,0.77,0.964,0.062,0.9640755973634912,78.0475206327043
37,5268,0.9000000000000001,0.33999999999999997,50643,0.0003093472330645392,256,256,3.6506369042337395e-06,2700,0.77,0.963,0.065,0.9668221824367166,77.52156814974384
38,7188,0.9000000000000001,0.28,25435,0.0004407480259500594,256,256,3.5298521858797652e-06,2800,0.77,0.962,0.063,0.9738450458038591,79.11473680541079
39,6154,0.9000000000000001,0.33999999999999997,22998,0.00040425455605391927,256,1024,3.506740429750952e-06,2700,0.77,0.962,0.062,0.9737188222183988,78.77303697738408
40,5502,0.9000000000000001,0.41000000000000003,23098,0.0003525995860973368,256,1024,3.5358219891099395e-06,3400,0.7999999999999999,0.963,0.065,0.9680637905531061,78.03722199421743
41,7090,1.0,0.33999999999999997,22795,0.00028411132891320264,256,256,2.8008643330297354e-06,5700,0.7999999999999999,0.96,0.065,0.9741452395433419,76.87464770113729
42,10014,1.0,0.42000000000000004,22829,0.005662013710261521,512,512,2.865274443933284e-06,3600,0.75,0.961,0.066,0.9612392536656664,77.88748691586743
43,10236,1.0,0.41000000000000003,22724,0.00016317228596129273,512,256,8.59300206808988e-06,2000,0.75,0.967,0.066,0.9732024340490896,77.5964147683973
44,9897,1.0,0.43,50572,0.00019998733709364073,512,256,9.99384366189154e-06,6000,0.75,0.976,0.069,0.9682806915682675,77.59389704521644
