trial,seed,configuration,manual_rebalancing,incentive_rebalancing,fleet_size,mean_satisfied_ratio,mean_rebalanced_vehicles_manually,mean_rebalanced_vehicles_incentives,max_satisfied_ratio,min_satisfied_ratio,mean_gini_index
3,54886,HRL_Manual_Only_900,True,False,900,0.8437862942021519,6.865,0.0,1.0,0.31873015873015875,0.24101588392516227
3,54886,HRL_Incentive_Only_900,False,True,900,0.6468772588774673,0.0,10.605,1.0,0.19873015873015873,0.44135691103474606
3,54886,HRL_Both_Enabled_600,True,True,600,0.732192201455276,8.1,10.905,1.0,0.22793650793650794,0.3073375715922108
3,54886,HRL_Manual_Only_600,True,False,600,0.7476512257919129,6.765,0.0,1.0,0.21841269841269842,0.2813632588774342
3,54886,HRL_Incentive_Only_600,False,True,600,0.58303508002098,0.0,10.635,0.9230769230769231,0.15873015873015872,0.4477819301260024
3,54886,HRL_Both_Enabled_1200,True,True,1200,0.8350221594772145,6.9525,10.925,1.0,0.38476190476190475,0.28140803264604813
3,54886,HRL_Manual_Only_1200,True,False,1200,0.9030481494931071,7.82,0.0,1.0,0.3942857142857143,0.2037821162657503
3,54886,HRL_Incentive_Only_1200,False,True,1200,0.6870471908792735,0.0,10.66,1.0,0.24444444444444444,0.4305059421534938
4,6265,HRL_Both_Enabled_900,True,True,900,0.7979263259428058,7.625,10.92,1.0,0.29968253968253966,0.2649202176403207
4,6265,HRL_Manual_Only_900,True,False,900,0.8437862942021519,6.865,0.0,1.0,0.31873015873015875,0.24101588392516227
4,6265,HRL_Incentive_Only_900,False,True,900,0.6468772588774673,0.0,10.605,1.0,0.19873015873015873,0.44135691103474606
4,6265,HRL_Both_Enabled_600,True,True,600,0.732192201455276,8.1,10.905,1.0,0.22793650793650794,0.3073375715922108
4,6265,HRL_Manual_Only_600,True,False,600,0.7476512257919129,6.765,0.0,1.0,0.21841269841269842,0.2813632588774342
4,6265,HRL_Incentive_Only_600,False,True,600,0.58303508002098,0.0,10.635,0.9230769230769231,0.15873015873015872,0.4477819301260024
4,6265,HRL_Both_Enabled_1200,True,True,1200,0.8350221594772145,6.9525,10.925,1.0,0.38476190476190475,0.28140803264604813
4,6265,HRL_Manual_Only_1200,True,False,1200,0.9030481494931071,7.82,0.0,1.0,0.3942857142857143,0.2037821162657503
4,6265,HRL_Incentive_Only_1200,False,True,1200,0.6870471908792735,0.0,10.66,1.0,0.24444444444444444,0.4305059421534938
5,82386,HRL_Both_Enabled_900,True,True,900,0.7979263259428058,7.625,10.92,1.0,0.29968253968253966,0.2649202176403207
5,82386,HRL_Manual_Only_900,True,False,900,0.8437862942021519,6.865,0.0,1.0,0.31873015873015875,0.24101588392516227
5,82386,HRL_Incentive_Only_900,False,True,900,0.6468772588774673,0.0,10.605,1.0,0.19873015873015873,0.44135691103474606
5,82386,HRL_Both_Enabled_600,True,True,600,0.732192201455276,8.1,10.905,1.0,0.22793650793650794,0.3073375715922108
5,82386,HRL_Manual_Only_600,True,False,600,0.7476512257919129,6.765,0.0,1.0,0.21841269841269842,0.2813632588774342
5,82386,HRL_Incentive_Only_600,False,True,600,0.58303508002098,0.0,10.635,0.9230769230769231,0.15873015873015872,0.4477819301260024
5,82386,HRL_Both_Enabled_1200,True,True,1200,0.8350221594772145,6.9525,10.925,1.0,0.38476190476190475,0.28140803264604813
5,82386,HRL_Manual_Only_1200,True,False,1200,0.9030481494931071,7.82,0.0,1.0,0.3942857142857143,0.2037821162657503
5,82386,HRL_Incentive_Only_1200,False,True,1200,0.6870471908792735,0.0,10.66,1.0,0.24444444444444444,0.4305059421534938
6,37194,HRL_Both_Enabled_900,True,True,900,0.7979263259428058,7.625,10.92,1.0,0.29968253968253966,0.2649202176403207
6,37194,HRL_Manual_Only_900,True,False,900,0.8437862942021519,6.865,0.0,1.0,0.31873015873015875,0.24101588392516227
6,37194,HRL_Incentive_Only_900,False,True,900,0.6468772588774673,0.0,10.605,1.0,0.19873015873015873,0.44135691103474606
6,37194,HRL_Both_Enabled_600,True,True,600,0.732192201455276,8.1,10.905,1.0,0.22793650793650794,0.3073375715922108
6,37194,HRL_Manual_Only_600,True,False,600,0.7476512257919129,6.765,0.0,1.0,0.21841269841269842,0.2813632588774342
6,37194,HRL_Incentive_Only_600,False,True,600,0.58303508002098,0.0,10.635,0.9230769230769231,0.15873015873015872,0.4477819301260024
6,37194,HRL_Both_Enabled_1200,True,True,1200,0.8350221594772145,6.9525,10.925,1.0,0.38476190476190475,0.28140803264604813
6,37194,HRL_Manual_Only_1200,True,False,1200,0.9030481494931071,7.82,0.0,1.0,0.3942857142857143,0.2037821162657503
